vdd,vdd18,Instance,vbl,tc_0,tc_1,tc_2,tc_3,tc_4,tc_5,tc_6,tc_7,tc_8,tc_9,Lot Bin Wafer,Part Number,Temp,Date
0.7,1.8,0,0,0.386,0.402,0.401,0.400,0.400,0.399,0.400,0.399,0.399,0.399,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,1,0.421,0.421,0.419,0.419,0.419,0.419,0.419,0.418,0.418,0.418,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,2,0.444,0.444,0.442,0.442,0.442,0.442,0.441,0.441,0.441,0.441,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,3,0.466,0.466,0.464,0.465,0.464,0.464,0.464,0.463,0.463,0.463,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,4,0.485,0.485,0.484,0.484,0.483,0.483,0.483,0.483,0.483,0.483,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,5,0.507,0.507,0.506,0.506,0.505,0.505,0.505,0.505,0.505,0.505,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,6,0.531,0.531,0.529,0.529,0.529,0.529,0.528,0.528,0.528,0.528,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,7,0.553,0.553,0.552,0.551,0.551,0.551,0.551,0.551,0.551,0.551,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,8,0.504,0.505,0.502,0.501,0.500,0.500,0.499,0.499,0.499,0.499,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,9,0.555,0.556,0.553,0.553,0.552,0.552,0.551,0.551,0.551,0.551,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,10,0.602,0.602,0.600,0.600,0.599,0.599,0.598,0.598,0.598,0.598,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,11,0.639,0.639,0.637,0.637,0.636,0.636,0.636,0.635,0.635,0.636,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,12,0.683,0.683,0.681,0.681,0.680,0.680,0.680,0.680,0.680,0.680,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,13,0.718,0.718,0.716,0.716,0.715,0.715,0.715,0.715,0.715,0.715,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,14,0.754,0.754,0.752,0.752,0.752,0.751,0.751,0.751,0.751,0.751,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,15,0.789,0.789,0.787,0.787,0.786,0.786,0.786,0.786,0.786,0.786,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,16,0.824,0.824,0.822,0.823,0.822,0.822,0.822,0.822,0.822,0.822,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,17,0.859,0.859,0.857,0.857,0.856,0.856,0.857,0.856,0.856,0.856,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,18,0.894,0.894,0.893,0.893,0.892,0.892,0.892,0.892,0.892,0.892,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,19,0.931,0.932,0.930,0.930,0.929,0.929,0.929,0.929,0.929,0.928,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,20,0.967,0.967,0.966,0.966,0.965,0.965,0.965,0.965,0.964,0.964,P9999_0y_X,P9999,25C,221013
