vdd,vdd18,Instance,vwl,tc_0,tc_1,tc_2,tc_3,tc_4,tc_5,tc_6,tc_7,tc_8,tc_9,Lot Bin Wafer,Part Number,Temp,Date
0.7,1.8,0,0,1.237,1.246,1.260,1.230,1.198,1.210,1.173,1.134,1.146,1.100,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,1,1.334,1.309,1.323,1.293,1.262,1.274,1.237,1.200,1.212,1.168,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,2,1.392,1.370,1.385,1.355,1.324,1.337,1.301,1.263,1.275,1.232,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,3,1.453,1.428,1.443,1.413,1.384,1.395,1.359,1.322,1.333,1.291,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,4,1.508,1.487,1.500,1.470,1.440,1.452,1.439,1.379,1.390,1.349,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,5,1.569,1.542,1.555,1.541,1.495,1.506,1.494,1.434,1.445,1.403,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,6,1.622,1.596,1.609,1.596,1.549,1.560,1.548,1.487,1.498,1.456,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,7,1.677,1.650,1.663,1.649,1.601,1.613,1.600,1.539,1.550,1.507,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,8,1.727,1.702,1.716,1.702,1.653,1.665,1.653,1.664,1.601,1.559,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,9,1.777,1.754,1.768,1.754,1.705,1.717,1.705,1.715,1.653,1.609,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,10,1.832,1.808,1.823,1.808,1.758,1.770,1.757,1.768,1.704,1.659,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,11,1.889,1.860,1.875,1.861,1.809,1.821,1.808,1.819,1.754,1.709,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,12,1.940,1.912,1.927,1.911,1.859,1.872,1.858,1.871,1.803,1.758,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,13,1.992,1.962,1.979,1.962,1.909,1.922,1.909,1.921,1.852,1.807,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,14,2.044,2.014,2.029,2.013,1.960,1.973,1.958,1.971,1.901,1.855,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,15,2.096,2.066,2.081,2.064,2.009,2.023,2.008,2.021,1.950,1.902,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,16,2.145,2.116,2.132,2.116,2.059,2.073,2.058,2.072,1.999,1.950,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,17,2.196,2.167,2.185,2.166,2.110,2.122,2.108,2.122,2.048,1.998,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,18,2.252,2.219,2.238,2.218,2.159,2.174,2.159,2.172,2.097,2.047,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,19,2.301,2.269,2.287,2.270,2.209,2.224,2.209,2.222,2.146,2.094,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,20,2.354,2.319,2.338,2.320,2.259,2.274,2.258,2.272,2.194,2.142,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,21,2.403,2.370,2.388,2.370,2.308,2.323,2.307,2.322,2.243,2.190,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,22,2.451,2.420,2.438,2.419,2.359,2.374,2.356,2.371,2.291,2.236,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,23,2.507,2.470,2.490,2.470,2.407,2.421,2.405,2.421,2.338,2.282,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,24,2.522,2.512,2.521,2.514,2.456,2.471,2.454,2.470,2.387,2.329,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,25,2.521,2.522,2.522,2.522,2.502,2.511,2.502,2.509,2.434,2.376,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,26,2.521,2.522,2.521,2.522,2.522,2.521,2.522,2.521,2.482,2.423,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,27,2.522,2.521,2.522,2.522,2.522,2.521,2.521,2.522,2.515,2.470,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,28,2.521,2.521,2.522,2.522,2.521,2.520,2.521,2.521,2.521,2.509,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,29,2.521,2.521,2.520,2.522,2.522,2.521,2.522,2.521,2.521,2.522,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,30,2.522,2.521,2.521,2.522,2.522,2.521,2.521,2.522,2.521,2.521,P9999_0y_X,P9999,25C,221013
0.7,1.8,0,31,2.521,2.522,2.521,2.522,2.521,2.521,2.522,2.521,2.520,2.522,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,0,1.236,1.245,1.269,1.230,1.197,1.208,1.172,1.133,1.145,1.100,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,1,1.331,1.307,1.331,1.293,1.260,1.272,1.236,1.199,1.210,1.167,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,2,1.394,1.369,1.395,1.354,1.323,1.334,1.299,1.263,1.274,1.232,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,3,1.452,1.428,1.450,1.412,1.381,1.393,1.358,1.322,1.332,1.292,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,4,1.511,1.485,1.508,1.470,1.438,1.450,1.415,1.449,1.389,1.348,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,5,1.566,1.541,1.561,1.540,1.492,1.504,1.493,1.504,1.443,1.402,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,6,1.617,1.595,1.617,1.594,1.545,1.558,1.546,1.558,1.497,1.455,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,7,1.674,1.649,1.674,1.647,1.599,1.611,1.599,1.611,1.549,1.507,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,8,1.728,1.702,1.726,1.700,1.652,1.664,1.651,1.663,1.600,1.558,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,9,1.780,1.754,1.780,1.752,1.703,1.716,1.703,1.716,1.650,1.609,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,10,1.832,1.808,1.835,1.805,1.756,1.768,1.756,1.769,1.703,1.659,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,11,1.888,1.859,1.885,1.857,1.806,1.817,1.806,1.819,1.753,1.709,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,12,1.936,1.910,1.938,1.909,1.858,1.870,1.856,1.869,1.802,1.757,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,13,1.989,1.962,1.989,1.960,1.907,1.920,1.907,1.919,1.852,1.804,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,14,2.038,2.014,2.040,2.012,1.958,1.971,1.957,1.970,1.900,1.853,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,15,2.091,2.064,2.096,2.063,2.007,2.020,2.006,2.021,1.949,1.901,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,16,2.144,2.116,2.146,2.114,2.057,2.072,2.058,2.070,1.998,1.949,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,17,2.195,2.167,2.192,2.165,2.108,2.121,2.107,2.121,2.047,1.997,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,18,2.251,2.218,2.247,2.216,2.159,2.173,2.159,2.173,2.096,2.046,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,19,2.302,2.270,2.297,2.268,2.208,2.222,2.207,2.223,2.145,2.094,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,20,2.354,2.320,2.342,2.318,2.256,2.272,2.256,2.272,2.193,2.141,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,21,2.403,2.369,2.398,2.368,2.305,2.322,2.306,2.322,2.241,2.188,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,22,2.451,2.419,2.454,2.418,2.354,2.370,2.356,2.369,2.290,2.235,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,23,2.504,2.470,2.503,2.468,2.403,2.419,2.404,2.419,2.337,2.282,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,24,2.521,2.509,2.521,2.513,2.452,2.467,2.453,2.468,2.385,2.328,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,25,2.522,2.521,2.521,2.521,2.500,2.510,2.500,2.511,2.433,2.376,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,26,2.522,2.522,2.522,2.520,2.521,2.521,2.520,2.520,2.481,2.423,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,27,2.522,2.522,2.521,2.521,2.522,2.521,2.521,2.521,2.519,2.470,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,28,2.521,2.522,2.521,2.521,2.521,2.521,2.521,2.521,2.521,2.510,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,29,2.522,2.521,2.521,2.521,2.521,2.521,2.521,2.520,2.521,2.520,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,30,2.521,2.521,2.522,2.521,2.521,2.520,2.521,2.521,2.520,2.521,P9999_0y_X,P9999,25C,221013
0.7,1.53,0,31,2.521,2.521,2.522,2.521,2.521,2.521,2.521,2.520,2.521,2.521,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,0,1.235,1.244,1.259,1.228,1.199,1.210,1.174,1.134,1.146,1.101,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,1,1.333,1.308,1.330,1.291,1.262,1.273,1.238,1.200,1.210,1.167,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,2,1.394,1.370,1.393,1.354,1.324,1.337,1.302,1.264,1.274,1.232,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,3,1.454,1.429,1.455,1.412,1.383,1.395,1.360,1.323,1.333,1.292,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,4,1.511,1.485,1.510,1.470,1.439,1.451,1.416,1.450,1.390,1.348,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,5,1.567,1.540,1.566,1.524,1.493,1.505,1.471,1.505,1.445,1.402,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,6,1.623,1.594,1.619,1.578,1.548,1.559,1.524,1.559,1.498,1.455,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,7,1.673,1.648,1.671,1.631,1.601,1.612,1.577,1.611,1.550,1.507,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,8,1.725,1.701,1.727,1.684,1.653,1.664,1.628,1.663,1.601,1.559,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,9,1.781,1.754,1.780,1.737,1.704,1.716,1.680,1.717,1.651,1.609,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,10,1.834,1.807,1.834,1.790,1.756,1.769,1.731,1.769,1.703,1.660,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,11,1.887,1.858,1.884,1.840,1.808,1.820,1.783,1.820,1.754,1.710,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,12,1.938,1.911,1.937,1.892,1.858,1.871,1.832,1.871,1.803,1.757,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,13,1.991,1.962,1.991,1.943,1.909,1.921,1.881,1.921,1.852,1.806,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,14,2.044,2.013,2.039,1.993,1.958,1.972,1.932,1.971,1.901,1.854,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,15,2.093,2.066,2.090,2.045,2.009,2.023,1.980,2.022,1.949,1.902,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,16,2.142,2.115,2.147,2.096,2.059,2.072,2.030,2.071,1.998,1.949,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,17,2.198,2.166,2.197,2.146,2.108,2.122,2.080,2.121,2.047,1.998,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,18,2.247,2.218,2.252,2.197,2.159,2.173,2.130,2.172,2.097,2.047,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,19,2.302,2.269,2.303,2.247,2.208,2.223,2.178,2.222,2.145,2.094,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,20,2.355,2.319,2.353,2.298,2.258,2.273,2.226,2.272,2.194,2.140,P9999_0y_X,P9999,25C,221013
0.7,1.62,0,21,2.404,2.368,2.405,2.349,2.308,2.323,2.276,2.322,2.241,2.188,P9999_0y_X,P9999,25C,221013
