vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.92,2.07,0,0,0.475507,0.003357,0.332287,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,4,4,0.435032,0.003739,0.331905,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,8,8,0.434603,0.003739,0.331981,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,12,12,0.442191,0.003739,0.331905,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,16,16,0.435646,0.003739,0.331981,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,20,20,0.435324,0.003815,0.331981,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,24,24,0.435354,0.003739,0.332668,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,28,28,0.442030,0.003739,0.332210,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,0,0,0.332206,0.003510,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,4,4,0.351489,0.003586,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,8,8,0.343698,0.003586,0.279716,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,12,12,0.343531,0.003739,0.280174,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,16,16,0.343621,0.003586,0.279945,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,20,20,0.344062,0.003586,0.280021,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,24,24,0.332695,0.003662,0.280174,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,28,28,0.343543,0.003662,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,0,0,0.261944,0.003510,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,4,4,0.270516,0.003510,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,8,8,0.271422,0.003433,0.208299,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,12,12,0.271201,0.003433,0.208680,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,16,16,0.270260,0.003510,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,20,20,0.271196,0.003968,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,24,24,0.270892,0.003433,0.208909,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,28,28,0.270248,0.003510,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,0,0,0.254910,0.003357,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,4,4,0.255381,0.003662,0.177398,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,8,8,0.255781,0.003739,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,12,12,0.264001,0.003510,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,16,16,0.255536,0.003586,0.177092,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,20,20,0.262916,0.003510,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,24,24,0.255125,0.003586,0.176635,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,28,28,0.255810,0.003662,0.177245,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,0,0,0.251352,0.003586,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,4,4,0.258505,0.003586,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,8,8,0.258838,0.003662,0.171065,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,12,12,0.258195,0.003586,0.170530,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,16,16,0.257760,0.003586,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,20,20,0.258290,0.003815,0.171065,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,24,24,0.257521,0.003662,0.170454,4,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,28,28,0.257599,0.003662,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,0,0,0.422496,0.003891,0.332058,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,4,4,0.435550,0.004273,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,8,8,0.435509,0.003968,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,12,12,0.443103,0.003891,0.332363,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,16,16,0.442972,0.003891,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,20,20,0.435556,0.004044,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,24,24,0.435556,0.004044,0.332515,4,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,28,28,0.427950,0.004044,0.332897,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,0,0,0.331997,0.003586,0.279868,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,4,4,0.343424,0.003815,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,8,8,0.343836,0.003662,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,12,12,0.344330,0.003586,0.279945,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,16,16,0.343448,0.003586,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,20,20,0.351126,0.003662,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,24,24,0.345230,0.003586,0.280021,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,28,28,0.352294,0.003586,0.280174,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,0,0,0.262999,0.003510,0.208833,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,4,4,0.271672,0.003510,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,8,8,0.270105,0.003433,0.208299,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,12,12,0.278408,0.003433,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,16,16,0.278027,0.003662,0.208299,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,20,20,0.271178,0.003510,0.208299,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,24,24,0.279290,0.003510,0.208452,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,28,28,0.277508,0.003510,0.208452,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,0,0,0.255614,0.003510,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,4,4,0.263059,0.003433,0.176635,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,8,8,0.262665,0.003586,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,12,12,0.262481,0.003662,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,16,16,0.264060,0.003433,0.176558,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,20,20,0.262981,0.003357,0.177245,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,24,24,0.263089,0.003433,0.176558,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,28,28,0.263405,0.003433,0.176940,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,0,0,0.251650,0.003510,0.170836,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,4,4,0.258469,0.003510,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,8,8,0.258230,0.003510,0.170302,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,12,12,0.257879,0.003739,0.171217,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,16,16,0.250940,0.003739,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,20,20,0.258660,0.004578,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,24,24,0.250910,0.004654,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,28,28,0.257867,0.003510,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,0,0,0.422931,0.003815,0.332287,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,4,4,0.435908,0.004120,0.332973,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,8,8,0.435497,0.003891,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,12,12,0.435878,0.004044,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,16,16,0.435437,0.003968,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,20,20,0.435550,0.003891,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,24,24,0.435813,0.003891,0.332821,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,28,28,0.435902,0.004273,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,0,0,0.332599,0.003739,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,4,4,0.343925,0.003968,0.280555,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,8,8,0.343996,0.003815,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,12,12,0.344157,0.003739,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,16,16,0.343865,0.003739,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,20,20,0.344217,0.003815,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,24,24,0.344408,0.003891,0.280555,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,28,28,0.343919,0.003891,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,0,0,0.261986,0.003357,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,4,4,0.279046,0.003662,0.208146,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,8,8,0.278057,0.003433,0.208452,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,12,12,0.278450,0.003433,0.208757,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,16,16,0.277991,0.003433,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,20,20,0.278629,0.003433,0.208757,4,P9HK27_0i_03,P0015,-40C,231114
