Vdd,Vdd18,sys_osc_trim,sys_osc_target_freq[MHz],sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddr[mA],pre-bck_grd_idd18r[mA],Vreg_trm,read speed[ns],read-data,iddr[mA],idd18r[mA],Lot Bin Wafer,Part Number,Temp,Date
0.80,1.80,0x9f,200,4.988858,200.45,2.655250,3.968126,0x01,4.00,ckbd-0xaa,5.400438,3.870876,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.988858,200.45,2.655250,3.968126,0x01,4.00,solid0x00,3.608501,3.880064,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,4.988858,200.45,2.655250,3.968126,0x01,4.00,solid0xff,3.751001,3.873751,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.084366,196.68,2.675876,3.982001,0x01,5.00,ckbd-0xaa,5.436689,3.876251,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.084366,196.68,2.675876,3.982001,0x01,5.00,solid0x00,3.595626,3.868938,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.084366,196.68,2.675876,3.982001,0x01,5.00,solid0xff,3.773626,3.865063,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.076126,197.00,2.667500,3.979938,0x01,10.00,ckbd-0xaa,5.688313,3.885438,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.076126,197.00,2.667500,3.979938,0x01,10.00,solid0x00,3.772751,3.881876,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.076126,197.00,2.667500,3.979938,0x01,10.00,solid0xff,4.021939,3.887375,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.058736,197.68,2.653625,3.959377,0x01,12.00,ckbd-0xaa,5.825187,3.879250,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.058736,197.68,2.653625,3.959377,0x01,12.00,solid0x00,3.879813,3.869751,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.058736,197.68,2.653625,3.959377,0x01,12.00,solid0xff,4.137501,3.871313,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.012118,199.52,2.668438,3.974625,0x03,4.00,ckbd-0xaa,5.439689,3.842564,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.012118,199.52,2.668438,3.974625,0x03,4.00,solid0x00,3.611251,3.868188,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.012118,199.52,2.668438,3.974625,0x03,4.00,solid0xff,3.763564,3.873501,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.040201,198.40,2.699688,3.990625,0x03,5.00,ckbd-0xaa,5.500188,3.875814,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.040201,198.40,2.699688,3.990625,0x03,5.00,solid0x00,3.634313,3.877439,P9KT98.AC_a_0,Q0128,25C,231111
0.80,1.80,0x9f,200,5.040201,198.40,2.699688,3.990625,0x03,5.00,solid0xff,3.836001,3.877938,P9KT98.AC_a_0,Q0128,25C,231111
