Vdd,Vdd18,sys_osc_trim,sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddr[mA],pre-bck_grd_idd18r[mA],Vreg_trm,read speed[ns],read-data,iddr[mA],idd18r[mA],Lot Bin Wafer,Part Number,Temp,Date
0.80,1.80,0x9f,5.119870,195.32,3.365001,4.170875,0x05,5.00,ckbd-0xaa,6.091814,4.140126,Ptmp_0n_1_0_0,P0000,25C,231122
0.80,1.80,0x9f,5.119870,195.32,3.365001,4.170875,0x05,5.00,solid0x00,4.220689,4.128439,Ptmp_0n_1_0_0,P0000,25C,231122
0.80,1.80,0x9f,5.119870,195.32,3.365001,4.170875,0x05,5.00,solid0xff,5.206626,4.119563,Ptmp_0n_1_0_0,P0000,25C,231122
0.80,1.98,0x9f,5.167497,193.52,3.409500,5.005564,0x05,5.00,ckbd-0xaa,6.101063,4.934626,Ptmp_0n_1_0_0,P0000,25C,231122
0.80,1.98,0x9f,5.167497,193.52,3.409500,5.005564,0x05,5.00,solid0x00,4.220001,4.933563,Ptmp_0n_1_0_0,P0000,25C,231122
0.80,1.98,0x9f,5.167497,193.52,3.409500,5.005564,0x05,5.00,solid0xff,5.221940,4.941750,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.80,0x9f,5.381999,185.80,3.641251,4.131000,0x05,5.00,ckbd-0xaa,6.643250,4.064876,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.80,0x9f,5.381999,185.80,3.641251,4.131000,0x05,5.00,solid0x00,4.516064,4.068064,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.80,0x9f,5.381999,185.80,3.641251,4.131000,0x05,5.00,solid0xff,5.653876,4.057563,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.98,0x9f,5.395273,185.35,3.613501,4.918813,0x05,5.00,ckbd-0xaa,6.627063,4.864813,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.98,0x9f,5.395273,185.35,3.613501,4.918813,0x05,5.00,solid0x00,4.490188,4.870751,Ptmp_0n_1_0_0,P0000,25C,231122
0.88,1.98,0x9f,5.395273,185.35,3.613501,4.918813,0x05,5.00,solid0xff,5.621687,4.872563,Ptmp_0n_1_0_0,P0000,25C,231122
