Vdd,Vdd18,sys_osc_trim,sys_clk_period[ns],sys_clk_freq[MHz],pre-bck_grd_iddw[mA],pre-bck_grd_idd18w[mA],Vwl,Vbl,write speed[ns],write-data,iddw[mA],idd18w[mA],Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,0x9f,4.979545,200.82,2.318125,3.282500,0x07,0x0e,20.00,ckbd-0xaa,2.773750,46.733128,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.979545,200.82,2.318125,3.282500,0x07,0x0e,20.00,solid0x00,2.666250,47.245003,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.979545,200.82,2.318125,3.282500,0x07,0x0e,20.00,solid0xff,2.595625,45.468128,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978752,200.85,2.370000,3.294375,0x07,0x0e,25.00,ckbd-0xaa,2.748750,46.740623,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978752,200.85,2.370000,3.294375,0x07,0x0e,25.00,solid0x00,2.678750,47.793751,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.978752,200.85,2.370000,3.294375,0x07,0x0e,25.00,solid0xff,2.594375,45.093750,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982696,200.69,2.361250,3.278125,0x07,0x0e,40.00,ckbd-0xaa,2.668750,47.690620,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982696,200.69,2.361250,3.278125,0x07,0x0e,40.00,solid0x00,2.592500,49.342499,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.982696,200.69,2.361250,3.278125,0x07,0x0e,40.00,solid0xff,2.563125,45.448128,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963290,201.48,2.340000,3.300625,0x07,0x0e,60.00,ckbd-0xaa,2.646250,48.860001,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963290,201.48,2.340000,3.300625,0x07,0x0e,60.00,solid0x00,2.561250,50.548130,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.963290,201.48,2.340000,3.300625,0x07,0x0e,60.00,solid0xff,2.529375,45.971874,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.967491,201.31,2.373750,3.295625,0x07,0x0e,80.00,ckbd-0xaa,2.625000,49.403126,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.967491,201.31,2.373750,3.295625,0x07,0x0e,80.00,solid0x00,2.567500,50.721252,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.967491,201.31,2.373750,3.295625,0x07,0x0e,80.00,solid0xff,2.558125,46.112499,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.979851,200.81,2.347500,3.287500,0x07,0x0e,100.00,ckbd-0xaa,2.546250,49.637505,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.979851,200.81,2.347500,3.287500,0x07,0x0e,100.00,solid0x00,2.499375,50.971878,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.979851,200.81,2.347500,3.287500,0x07,0x0e,100.00,solid0xff,2.483750,46.178749,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.952938,201.90,2.381250,3.248125,0x07,0x0f,20.00,ckbd-0xaa,2.825625,46.266872,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.952938,201.90,2.381250,3.248125,0x07,0x0f,20.00,solid0x00,2.713750,47.523125,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.952938,201.90,2.381250,3.248125,0x07,0x0f,20.00,solid0xff,2.643750,45.246250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946757,202.15,2.371250,3.281875,0x07,0x0f,25.00,ckbd-0xaa,2.696250,46.868748,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946757,202.15,2.371250,3.281875,0x07,0x0f,25.00,solid0x00,2.606250,48.281250,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.946757,202.15,2.371250,3.281875,0x07,0x0f,25.00,solid0xff,2.566875,45.444374,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.958179,201.69,2.323750,3.286875,0x07,0x0f,40.00,ckbd-0xaa,2.673125,47.885002,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.958179,201.69,2.323750,3.286875,0x07,0x0f,40.00,solid0x00,2.623125,49.438751,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.958179,201.69,2.323750,3.286875,0x07,0x0f,40.00,solid0xff,2.575625,45.834377,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.957629,201.71,2.363125,3.292500,0x07,0x0f,60.00,ckbd-0xaa,2.693750,48.665623,P9KT98.AC_a_0,Q0128,25C,231205
0.72,1.62,0x9f,4.957629,201.71,2.363125,3.292500,0x07,0x0f,60.00,solid0x00,2.623125,50.391247,P9KT98.AC_a_0,Q0128,25C,231205
