Error Count,Status,Instance,Lot Bin Wafer,Part Number,Temp,Date
110,PASS,0,P9HK27_0a_03,P0011,25C,231027
16597,FAIL,1,P9HK27_0a_03,P0011,25C,231027
95,PASS,2,P9HK27_0a_03,P0011,25C,231027
139,PASS,3,P9HK27_0a_03,P0011,25C,231027
138,PASS,4,P9HK27_0a_03,P0011,25C,231027
168,PASS,5,P9HK27_0a_03,P0011,25C,231027
113,PASS,6,P9HK27_0a_03,P0011,25C,231027
18508,FAIL,7,P9HK27_0a_03,P0011,25C,231027
2886,PASS,0,P9HK27_0i_03,P0013,25C,231114
1,PASS,0,P9HK27_0i_03,P0015,25C,231027
0,PASS,1,P9HK27_0i_03,P0015,25C,231027
2,PASS,2,P9HK27_0i_03,P0015,25C,231027
2,PASS,3,P9HK27_0i_03,P0015,25C,231027
1,PASS,4,P9HK27_0i_03,P0015,25C,231027
3,PASS,5,P9HK27_0i_03,P0015,25C,231027
1,PASS,6,P9HK27_0i_03,P0015,25C,231027
2,PASS,7,P9HK27_0i_03,P0015,25C,231027
