Error Count,Status,Instance,Lot Bin Wafer,Part Number,Temp,Date
115,PASS,0,P9HK27_0a_03,P0011,25C,231026
16407,FAIL,1,P9HK27_0a_03,P0011,25C,231026
91,PASS,2,P9HK27_0a_03,P0011,25C,231026
140,PASS,3,P9HK27_0a_03,P0011,25C,231026
144,PASS,4,P9HK27_0a_03,P0011,25C,231026
163,PASS,5,P9HK27_0a_03,P0011,25C,231026
114,PASS,6,P9HK27_0a_03,P0011,25C,231026
17845,FAIL,7,P9HK27_0a_03,P0011,25C,231026
1008,PASS,0,P9HK27_0k_03,P0013,25C,231114
979,PASS,1,P9HK27_0k_03,P0013,25C,231114
431,PASS,2,P9HK27_0k_03,P0013,25C,231114
499,PASS,3,P9HK27_0k_03,P0013,25C,231114
1911,PASS,4,P9HK27_0k_03,P0013,25C,231114
511,PASS,5,P9HK27_0k_03,P0013,25C,231114
1901,PASS,6,P9HK27_0k_03,P0013,25C,231114
1384,PASS,7,P9HK27_0k_03,P0013,25C,231114
