Error Count,Status,Instance,Lot Bin Wafer,Part Number,Temp,Date
0,PASS,0,P9KT98_0a_XX,P0134,25C,231129
0,PASS,1,P9KT98_0a_XX,P0134,25C,231129
0,PASS,2,P9KT98_0a_XX,P0134,25C,231129
0,PASS,3,P9KT98_0a_XX,P0134,25C,231129
0,PASS,4,P9KT98_0a_XX,P0134,25C,231129
0,PASS,5,P9KT98_0a_XX,P0134,25C,231129
0,PASS,6,P9KT98_0a_XX,P0134,25C,231129
0,PASS,7,P9KT98_0a_XX,P0134,25C,231129
0,PASS,0,P9KT98_0a_XX,P0136,25C,231129
0,PASS,1,P9KT98_0a_XX,P0136,25C,231129
0,PASS,2,P9KT98_0a_XX,P0136,25C,231129
0,PASS,3,P9KT98_0a_XX,P0136,25C,231129
0,PASS,4,P9KT98_0a_XX,P0136,25C,231129
0,PASS,5,P9KT98_0a_XX,P0136,25C,231129
0,PASS,6,P9KT98_0a_XX,P0136,25C,231129
0,PASS,7,P9KT98_0a_XX,P0136,25C,231129
