rd_wr,period,osc_set,count,div,period_delta,cycles,vgen,Fail Count,Instance,Lot Bin Wafer,Part Number,Temp,Date
0,6.000,25,3,0,0.011,1000,27,5,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,6,4,0,0.035,1000,27,2,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.117,1000,27,24,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.001,1000,27,5,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.004,1000,27,16,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.023,1000,27,11,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.001,1000,27,15,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.012,1000,27,14,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.003,1000,23,0,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,29,2,0,0.020,1000,23,0,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.004,1000,23,3,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.037,1000,23,2,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.011,1000,23,2,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.037,1000,23,0,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.001,1000,23,1,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.002,1000,23,2,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,11,4,0,0.018,1000,25,7,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,3,5,0,0.046,1000,25,0,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.022,1000,25,7,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.011,1000,25,3,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.018,1000,25,4,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.007,1000,25,2,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.005,1000,25,4,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.027,1000,25,2,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,25,3,0,0.003,2000,27,8,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,6,4,0,0.054,2000,27,4,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.008,2000,27,30,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.008,2000,27,6,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.004,2000,27,18,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.018,2000,27,15,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.036,2000,27,17,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.000,2000,27,15,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,11,4,0,0.001,2000,23,0,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,6,4,0,0.026,2000,23,0,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,30,2,0,0.009,2000,23,4,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.006,2000,23,2,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.009,2000,23,2,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.043,2000,23,0,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.027,2000,23,1,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.004,2000,23,2,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,6,0,0.005,2000,25,8,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,6,4,0,0.054,2000,25,0,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.004,2000,25,11,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.001,2000,25,3,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.031,2000,25,5,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.008,2000,25,3,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.027,2000,25,5,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.011,2000,25,5,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,29,2,0,0.006,5000,27,13,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,15,3,0,0.045,5000,27,10,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.018,5000,27,42,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,2,6,0,0.012,5000,27,9,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.017,5000,27,24,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.001,5000,27,21,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.032,5000,27,18,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.055,5000,27,21,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,28,2,0,0.006,5000,23,0,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,15,3,0,0.009,5000,23,1,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.001,5000,23,7,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,12,4,0,0.015,5000,23,2,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,6,4,0,0.003,5000,23,2,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.012,5000,23,1,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.005,5000,23,2,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,17,4,0,0.030,5000,23,2,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,25,3,0,0.012,5000,25,10,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.019,5000,25,0,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.013,5000,25,16,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.008,5000,25,5,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.033,5000,25,10,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,25,3,0,0.000,5000,25,5,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.007,5000,25,7,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,8,6,0,0.018,5000,25,6,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,30,2,0,0.008,10000,27,16,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.013,10000,27,13,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.072,10000,27,55,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.002,10000,27,14,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.015,10000,27,36,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.012,10000,27,39,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,4,5,0,0.019,10000,27,24,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,2,6,0,0.018,10000,27,30,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,25,3,0,0.009,10000,23,0,0,P9HK27_0o_15,P0002,085C,220414
0,6.000,29,2,0,0.025,10000,23,1,1,P9HK27_0o_15,P0002,085C,220414
0,6.000,10,5,0,0.013,10000,23,9,2,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.005,10000,23,2,3,P9HK27_0o_15,P0002,085C,220414
0,6.000,28,2,0,0.002,10000,23,8,4,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.002,10000,23,5,5,P9HK27_0o_15,P0002,085C,220414
0,6.000,20,3,0,0.006,10000,23,3,6,P9HK27_0o_15,P0002,085C,220414
0,6.000,0,7,0,0.002,10000,23,2,7,P9HK27_0o_15,P0002,085C,220414
0,6.000,25,3,0,0.029,10000,25,13,0,P9HK27_0o_15,P0002,085C,220414
