rd_wr,period,osc_set,count,div,period_delta,cycles,vgen,Fail Count,Instance,Lot Bin Wafer,Part Number,Temp,Date
0,6.000,8,5,0,0.003,1000,27,46,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,16,4,0,0.071,1000,27,47,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,0,7,0,0.019,1000,27,42,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.012,1000,27,37,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.001,1000,27,34,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.072,1000,27,47,5,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.005,1000,27,43,6,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.025,1000,27,51,7,P9KT98_0n_02,P0053,085C,220407
0,6.000,8,5,0,0.011,1000,23,9,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.002,1000,23,8,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,29,2,0,0.009,1000,23,7,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.005,1000,23,10,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,11,4,0,0.017,1000,23,8,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.009,1000,23,6,5,P9KT98_0n_02,P0053,085C,220407
0,6.000,22,2,0,0.025,1000,23,8,6,P9KT98_0n_02,P0053,085C,220407
0,6.000,26,2,0,0.040,1000,23,7,7,P9KT98_0n_02,P0053,085C,220407
0,6.000,8,5,0,0.025,1000,25,26,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,23,2,0,0.025,1000,25,26,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,4,5,0,0.015,1000,25,20,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,24,3,0,0.023,1000,25,22,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.032,1000,25,15,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.041,1000,25,24,5,P9KT98_0n_02,P0053,085C,220407
0,6.000,0,6,0,0.032,1000,25,24,6,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.035,1000,25,26,7,P9KT98_0n_02,P0053,085C,220407
0,6.000,27,2,0,0.044,2000,27,52,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.058,2000,27,52,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,4,5,0,0.010,2000,27,44,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,19,3,0,0.011,2000,27,40,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,11,4,0,0.004,2000,27,38,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.012,2000,27,54,5,P9KT98_0n_02,P0053,085C,220407
0,6.000,11,4,0,0.007,2000,27,53,6,P9KT98_0n_02,P0053,085C,220407
0,6.000,11,4,0,0.016,2000,27,56,7,P9KT98_0n_02,P0053,085C,220407
0,6.000,3,4,0,0.040,2000,23,11,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,16,4,0,0.013,2000,23,9,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,4,5,0,0.008,2000,23,7,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.002,2000,23,11,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.058,2000,23,8,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.018,2000,23,8,5,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.052,2000,23,13,6,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.074,2000,23,10,7,P9KT98_0n_02,P0053,085C,220407
0,6.000,8,5,0,0.027,2000,25,30,0,P9KT98_0n_02,P0053,085C,220407
0,6.000,5,4,0,0.009,2000,25,29,1,P9KT98_0n_02,P0053,085C,220407
0,6.000,17,4,0,0.000,2000,25,21,2,P9KT98_0n_02,P0053,085C,220407
0,6.000,18,3,0,0.076,2000,25,26,3,P9KT98_0n_02,P0053,085C,220407
0,6.000,11,4,0,0.058,2000,25,17,4,P9KT98_0n_02,P0053,085C,220407
0,6.000,27,2,0,0.039,2000,25,27,5,P9KT98_0n_02,P0053,085C,220407
