Lot_Bin_Wafer,part,instance,temp,date,block,lfo_ovr,Vdd,rd_vbl,pattern,idd/bit,idd18/bit,safv,rd_count,osc_setting,osc_delta,rd_delay,err_cnt,ppm
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x01,0x15,0.0150,3.50,37.00,14.476287059294872
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x01,0x1c,0.0315,3.75,17.00,6.651267027243589
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x02,0x0c,0.0084,4.00,30.00,11.737530048076923
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x02,0x0e,0.0158,4.50,13.00,5.086263020833333
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x04,0x09,0.0173,5.00,8.00,3.1300080128205128
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x03,0x0e,0.0072,6.00,4.00,1.5650040064102564
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x06,0x09,0.0188,7.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x07,0x02,0.0100,8.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.40,-436.54,0x01,0x05,0x0f,0.0374,10.00,0.00,0.0
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x01,0x15,0.0150,3.50,37.00,14.476287059294872
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x01,0x1c,0.0315,3.75,9.00,3.5212590144230766
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x02,0x0c,0.0084,4.00,18.00,7.042518028846153
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x02,0x0e,0.0158,4.50,7.00,2.738757011217949
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x04,0x09,0.0173,5.00,6.00,2.3475060096153846
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x03,0x0e,0.0072,6.00,4.00,1.5650040064102564
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x06,0x09,0.0188,7.00,2.00,0.7825020032051282
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x07,0x02,0.0100,8.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,723.72,-436.70,0x03,0x05,0x0f,0.0374,10.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x01,0x15,0.0150,3.50,21.00,8.216271033653847
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x01,0x1c,0.0315,3.75,10.00,3.912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x02,0x0c,0.0084,4.00,20.00,7.825020032051282
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x02,0x0e,0.0158,4.50,9.00,3.5212590144230766
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x04,0x09,0.0173,5.00,4.00,1.5650040064102564
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x03,0x0e,0.0072,6.00,4.00,1.5650040064102564
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x06,0x09,0.0188,7.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x07,0x02,0.0100,8.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,735.98,-440.87,0x05,0x05,0x0f,0.0374,10.00,0.00,0.0
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x01,0x15,0.0150,3.50,30.00,11.737530048076923
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x01,0x1c,0.0315,3.75,14.00,5.477514022435898
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x02,0x0c,0.0084,4.00,21.00,8.216271033653847
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x02,0x0e,0.0158,4.50,10.00,3.912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x04,0x09,0.0173,5.00,5.00,1.9562550080128205
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x03,0x0e,0.0072,6.00,3.00,1.1737530048076923
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x06,0x09,0.0188,7.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x07,0x02,0.0100,8.00,1.00,0.3912510016025641
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,747.04,-440.54,0x07,0x05,0x0f,0.0374,10.00,0.00,0.0
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,738.14,-439.10,0x09,0x01,0x15,0.0150,3.50,33.00,12.911283052884615
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,738.14,-439.10,0x09,0x01,0x1c,0.0315,3.75,14.00,5.477514022435898
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,738.14,-439.10,0x09,0x02,0x0c,0.0084,4.00,27.00,10.56377704326923
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,738.14,-439.10,0x09,0x02,0x0e,0.0158,4.50,13.00,5.086263020833333
P9KT88_0a_X,P0012,0,85C,221013,2,0,0.880,0x0f,zeros,738.14,-439.10,0x09,0x04,0x09,0.0173,5.00,6.00,2.3475060096153846
