Lot_Bin_Wafer,part,instance,temp,date,block,lfo_ovr,Vdd,rd_vbl,pattern,idd/bit,idd18/bit,safv,rd_count,osc_setting,osc_delta,rd_delay,err_cnt,ppm
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x02,0x03,0.0023,3.50,41.00,16.041291065705128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x01,0x1a,0.0136,3.75,10.00,3.912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x03,0x02,0.0011,4.00,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x04,0x00,0.0001,4.50,5.00,1.9562550080128205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x04,0x02,0.0156,5.00,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x03,0x0e,0.0496,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x03,0x14,0.0247,7.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x05,0x10,0.0392,8.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,204.09,4.41,0x01,0x06,0x11,0.0199,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x02,0x03,0.0023,3.50,23.00,8.998773036858974
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x01,0x1a,0.0136,3.75,9.00,3.5212590144230766
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x03,0x02,0.0011,4.00,7.00,2.738757011217949
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x04,0x00,0.0001,4.50,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x04,0x02,0.0156,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x03,0x0e,0.0496,6.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x03,0x14,0.0247,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x05,0x10,0.0392,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,216.59,-2.32,0x03,0x06,0x11,0.0199,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x02,0x03,0.0023,3.50,21.00,8.216271033653847
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x01,0x1a,0.0136,3.75,14.00,5.477514022435898
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x03,0x02,0.0011,4.00,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x04,0x00,0.0001,4.50,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x04,0x02,0.0156,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x03,0x0e,0.0496,6.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x03,0x14,0.0247,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x05,0x10,0.0392,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,210.58,3.85,0x05,0x06,0x11,0.0199,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x02,0x03,0.0023,3.50,25.00,9.781275040064102
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x01,0x1a,0.0136,3.75,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x03,0x02,0.0011,4.00,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x04,0x00,0.0001,4.50,5.00,1.9562550080128205
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x04,0x02,0.0156,5.00,2.00,0.7825020032051282
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x03,0x0e,0.0496,6.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x03,0x14,0.0247,7.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x05,0x10,0.0392,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,85C,230410,2,0,0.880,0x0f,zeros,218.35,8.41,0x07,0x06,0x11,0.0199,10.00,0.00,0.0
