VWL,IWL,vdd,vdd18,vwl_trim_level,loaded,Instance,Lot Bin Wafer,Part Number,Temp,Date
1.4709,1.5189,0.9,1.98,0,0,0,P9KT98_0a_01,P0109,025C,231004
1.4796,1.5136,0.9,1.98,0,1,0,P9KT98_0a_01,P0109,025C,231004
1.5284,1.4898,0.9,1.98,1,0,0,P9KT98_0a_01,P0109,025C,231004
1.5294,1.4897,0.9,1.98,1,1,0,P9KT98_0a_01,P0109,025C,231004
1.5791,1.4647,0.9,1.98,2,0,0,P9KT98_0a_01,P0109,025C,231004
1.5799,1.464,0.9,1.98,2,1,0,P9KT98_0a_01,P0109,025C,231004
1.6299,1.4414,0.9,1.98,3,0,0,P9KT98_0a_01,P0109,025C,231004
1.6289,1.4394,0.9,1.98,3,1,0,P9KT98_0a_01,P0109,025C,231004
1.6797,1.4153,0.9,1.98,4,0,0,P9KT98_0a_01,P0109,025C,231004
1.6797,1.4148,0.9,1.98,4,1,0,P9KT98_0a_01,P0109,025C,231004
1.7271,1.3911,0.9,1.98,5,0,0,P9KT98_0a_01,P0109,025C,231004
1.7274,1.3907,0.9,1.98,5,1,0,P9KT98_0a_01,P0109,025C,231004
1.7764,1.3665,0.9,1.98,6,0,0,P9KT98_0a_01,P0109,025C,231004
1.7773,1.3663,0.9,1.98,6,1,0,P9KT98_0a_01,P0109,025C,231004
1.8257,1.3421,0.9,1.98,7,0,0,P9KT98_0a_01,P0109,025C,231004
1.8274,1.3416,0.9,1.98,7,1,0,P9KT98_0a_01,P0109,025C,231004
1.8745,1.318,0.9,1.98,8,0,0,P9KT98_0a_01,P0109,025C,231004
1.8756,1.3168,0.9,1.98,8,1,0,P9KT98_0a_01,P0109,025C,231004
1.9243,1.2933,0.9,1.98,9,0,0,P9KT98_0a_01,P0109,025C,231004
1.9250,1.2925,0.9,1.98,9,1,0,P9KT98_0a_01,P0109,025C,231004
1.9739,1.2686,0.9,1.98,10,0,0,P9KT98_0a_01,P0109,025C,231004
1.9754,1.2676,0.9,1.98,10,1,0,P9KT98_0a_01,P0109,025C,231004
2.0224,1.2441,0.9,1.98,11,0,0,P9KT98_0a_01,P0109,025C,231004
2.0248,1.243,0.9,1.98,11,1,0,P9KT98_0a_01,P0109,025C,231004
2.0715,1.2199,0.9,1.98,12,0,0,P9KT98_0a_01,P0109,025C,231004
2.0741,1.2184,0.9,1.98,12,1,0,P9KT98_0a_01,P0109,025C,231004
2.1202,1.1958,0.9,1.98,13,0,0,P9KT98_0a_01,P0109,025C,231004
2.1219,1.1944,0.9,1.98,13,1,0,P9KT98_0a_01,P0109,025C,231004
2.1698,1.1709,0.9,1.98,14,0,0,P9KT98_0a_01,P0109,025C,231004
2.1715,1.1702,0.9,1.98,14,1,0,P9KT98_0a_01,P0109,025C,231004
2.2174,1.1469,0.9,1.98,15,0,0,P9KT98_0a_01,P0109,025C,231004
2.2222,1.1452,0.9,1.98,15,1,0,P9KT98_0a_01,P0109,025C,231004
2.2673,1.1229,0.9,1.98,16,0,0,P9KT98_0a_01,P0109,025C,231004
2.2715,1.1204,0.9,1.98,16,1,0,P9KT98_0a_01,P0109,025C,231004
2.3178,1.0974,0.9,1.98,17,0,0,P9KT98_0a_01,P0109,025C,231004
2.3195,1.0959,0.9,1.98,17,1,0,P9KT98_0a_01,P0109,025C,231004
2.3677,1.073,0.9,1.98,18,0,0,P9KT98_0a_01,P0109,025C,231004
2.3697,1.0715,0.9,1.98,18,1,0,P9KT98_0a_01,P0109,025C,231004
2.4163,1.0493,0.9,1.98,19,0,0,P9KT98_0a_01,P0109,025C,231004
2.4204,1.0473,0.9,1.98,19,1,0,P9KT98_0a_01,P0109,025C,231004
2.4659,1.0242,0.9,1.98,20,0,0,P9KT98_0a_01,P0109,025C,231004
2.4688,1.0229,0.9,1.98,20,1,0,P9KT98_0a_01,P0109,025C,231004
2.5142,1.0017,0.9,1.98,21,0,0,P9KT98_0a_01,P0109,025C,231004
2.5179,0.9988,0.9,1.98,21,1,0,P9KT98_0a_01,P0109,025C,231004
2.5628,0.977,0.9,1.98,22,0,0,P9KT98_0a_01,P0109,025C,231004
2.5680,0.975,0.9,1.98,22,1,0,P9KT98_0a_01,P0109,025C,231004
2.6110,0.9538,0.9,1.98,23,0,0,P9KT98_0a_01,P0109,025C,231004
2.6168,0.951,0.9,1.98,23,1,0,P9KT98_0a_01,P0109,025C,231004
2.6604,0.9299,0.9,1.98,24,0,0,P9KT98_0a_01,P0109,025C,231004
2.6662,0.9275,0.9,1.98,24,1,0,P9KT98_0a_01,P0109,025C,231004
2.7096,0.9062,0.9,1.98,25,0,0,P9KT98_0a_01,P0109,025C,231004
2.7140,0.9036,0.9,1.98,25,1,0,P9KT98_0a_01,P0109,025C,231004
2.7581,0.8822,0.9,1.98,26,0,0,P9KT98_0a_01,P0109,025C,231004
2.7439,0.8888,0.9,1.98,26,1,0,P9KT98_0a_01,P0109,025C,231004
2.8074,0.8596,0.9,1.98,27,0,0,P9KT98_0a_01,P0109,025C,231004
2.7436,0.8872,0.9,1.98,27,1,0,P9KT98_0a_01,P0109,025C,231004
2.8548,0.8372,0.9,1.98,28,0,0,P9KT98_0a_01,P0109,025C,231004
2.7447,0.8848,0.9,1.98,28,1,0,P9KT98_0a_01,P0109,025C,231004
2.9017,0.8154,0.9,1.98,29,0,0,P9KT98_0a_01,P0109,025C,231004
2.7444,0.8854,0.9,1.98,29,1,0,P9KT98_0a_01,P0109,025C,231004
2.9485,0.7941,0.9,1.98,30,0,0,P9KT98_0a_01,P0109,025C,231004
2.7442,0.8843,0.9,1.98,30,1,0,P9KT98_0a_01,P0109,025C,231004
2.9960,0.7737,0.9,1.98,31,0,0,P9KT98_0a_01,P0109,025C,231004
2.7451,0.8837,0.9,1.98,31,1,0,P9KT98_0a_01,P0109,025C,231004
1.4421,1.5559,0.9,1.8,0,0,0,P9KT98_0a_01,P0109,025C,231004
1.4759,1.5165,0.9,1.8,0,1,0,P9KT98_0a_01,P0109,025C,231004
1.5255,1.4919,0.9,1.8,1,0,0,P9KT98_0a_01,P0109,025C,231004
1.5254,1.492,0.9,1.8,1,1,0,P9KT98_0a_01,P0109,025C,231004
1.5771,1.4663,0.9,1.8,2,0,0,P9KT98_0a_01,P0109,025C,231004
1.5771,1.4661,0.9,1.8,2,1,0,P9KT98_0a_01,P0109,025C,231004
1.6260,1.4418,0.9,1.8,3,0,0,P9KT98_0a_01,P0109,025C,231004
1.6258,1.4418,0.9,1.8,3,1,0,P9KT98_0a_01,P0109,025C,231004
1.6742,1.4176,0.9,1.8,4,0,0,P9KT98_0a_01,P0109,025C,231004
1.6757,1.4171,0.9,1.8,4,1,0,P9KT98_0a_01,P0109,025C,231004
1.7238,1.3929,0.9,1.8,5,0,0,P9KT98_0a_01,P0109,025C,231004
1.7244,1.393,0.9,1.8,5,1,0,P9KT98_0a_01,P0109,025C,231004
1.7732,1.3687,0.9,1.8,6,0,0,P9KT98_0a_01,P0109,025C,231004
1.7737,1.3676,0.9,1.8,6,1,0,P9KT98_0a_01,P0109,025C,231004
1.8223,1.3442,0.9,1.8,7,0,0,P9KT98_0a_01,P0109,025C,231004
1.8228,1.3436,0.9,1.8,7,1,0,P9KT98_0a_01,P0109,025C,231004
1.8712,1.3195,0.9,1.8,8,0,0,P9KT98_0a_01,P0109,025C,231004
1.8718,1.3192,0.9,1.8,8,1,0,P9KT98_0a_01,P0109,025C,231004
1.9202,1.2948,0.9,1.8,9,0,0,P9KT98_0a_01,P0109,025C,231004
1.9225,1.2944,0.9,1.8,9,1,0,P9KT98_0a_01,P0109,025C,231004
1.9705,1.27,0.9,1.8,10,0,0,P9KT98_0a_01,P0109,025C,231004
1.9728,1.2692,0.9,1.8,10,1,0,P9KT98_0a_01,P0109,025C,231004
2.0200,1.2456,0.9,1.8,11,0,0,P9KT98_0a_01,P0109,025C,231004
2.0220,1.2446,0.9,1.8,11,1,0,P9KT98_0a_01,P0109,025C,231004
2.0686,1.2211,0.9,1.8,12,0,0,P9KT98_0a_01,P0109,025C,231004
2.0700,1.2199,0.9,1.8,12,1,0,P9KT98_0a_01,P0109,025C,231004
2.1178,1.197,0.9,1.8,13,0,0,P9KT98_0a_01,P0109,025C,231004
2.1202,1.1956,0.9,1.8,13,1,0,P9KT98_0a_01,P0109,025C,231004
2.1674,1.1722,0.9,1.8,14,0,0,P9KT98_0a_01,P0109,025C,231004
2.1689,1.1708,0.9,1.8,14,1,0,P9KT98_0a_01,P0109,025C,231004
2.2171,1.1482,0.9,1.8,15,0,0,P9KT98_0a_01,P0109,025C,231004
2.2187,1.1464,0.9,1.8,15,1,0,P9KT98_0a_01,P0109,025C,231004
2.2638,1.1246,0.9,1.8,16,0,0,P9KT98_0a_01,P0109,025C,231004
2.2678,1.1223,0.9,1.8,16,1,0,P9KT98_0a_01,P0109,025C,231004
