Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6,vdd
P9HK26_0J_05,P0010,0,025C,200618,0x00:,185.2564,1,0x000c,3.1060,0x000c,1.5389,0x07,20,0x00000111,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,153.6058,1,0x000c,3.1060,0x000c,1.5389,0x07,20,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,185.2564,1,0x000c,3.1060,0x000c,1.5389,0x08,25,0x000000c9,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,153.6058,1,0x000c,3.1060,0x000c,1.5389,0x08,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,185.2564,1,0x000c,3.1060,0x000c,1.5389,0x0a,30,0x00000052,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,153.6058,1,0x000c,3.1060,0x000c,1.5389,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,185.2564,1,0x000c,3.1060,0x000c,1.5389,0x0e,40,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,153.6058,1,0x000c,3.1060,0x000c,1.5389,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,185.2564,1,0x000c,3.1060,0x000c,1.5389,0x13,55,0x0000000d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,153.6058,1,0x000c,3.1060,0x000c,1.5389,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,190.1442,1,0x000c,3.1060,0x000d,1.5383,0x07,20,0x000000c2,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,152.9647,1,0x000c,3.1060,0x000d,1.5383,0x07,20,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,190.1442,1,0x000c,3.1060,0x000d,1.5383,0x08,25,0x0000006a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,152.9647,1,0x000c,3.1060,0x000d,1.5383,0x08,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,190.1442,1,0x000c,3.1060,0x000d,1.5383,0x0a,30,0x00000050,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,152.9647,1,0x000c,3.1060,0x000d,1.5383,0x0a,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,190.1442,1,0x000c,3.1060,0x000d,1.5383,0x0e,40,0x0000002b,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,152.9647,1,0x000c,3.1060,0x000d,1.5383,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0x00:,190.1442,1,0x000c,3.1060,0x000d,1.5383,0x13,55,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9HK26_0J_05,P0010,0,025C,200618,0xff:,152.9647,1,0x000c,3.1060,0x000d,1.5383,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
