Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6,vdd
P9KT98_0a_X,P0012,0,85C,230410,0x00:,183.1732,1,0x0009,1.8877,0x000e,1.0680,0x09,20,0x00000058,0x00000013,0x00000010,0x00000011,0x00000013,0x00000011,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,175.6410,1,0x0009,1.8877,0x000e,1.0680,0x09,20,0x00000004,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,183.1732,1,0x0009,1.8877,0x000e,1.0680,0x0b,25,0x00000045,0x00000015,0x00000015,0x00000014,0x00000016,0x00000017,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,175.6410,1,0x0009,1.8877,0x000e,1.0680,0x0b,25,0x00000006,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,183.1732,1,0x0009,1.8877,0x000e,1.0680,0x0d,30,0x0000002a,0x00000010,0x00000013,0x00000015,0x00000015,0x00000012,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,175.6410,1,0x0009,1.8877,0x000e,1.0680,0x0d,30,0x00000005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,183.1732,1,0x0009,1.8877,0x000e,1.0680,0x12,40,0x00000025,0x00000014,0x00000014,0x00000015,0x00000013,0x00000015,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,175.6410,1,0x0009,1.8877,0x000e,1.0680,0x12,40,0x00000006,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,183.1732,1,0x0009,1.8877,0x000e,1.0680,0x18,55,0x00000020,0x00000017,0x00000015,0x00000014,0x00000015,0x00000013,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,175.6410,1,0x0009,1.8877,0x000e,1.0680,0x18,55,0x00000008,0x00000003,0x00000001,0x00000001,0x00000001,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,195.5128,1,0x0009,1.8877,0x000f,1.0925,0x09,20,0x00000050,0x00000016,0x00000014,0x00000015,0x00000012,0x00000013,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,168.6699,1,0x0009,1.8877,0x000f,1.0925,0x09,20,0x00000006,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,195.5128,1,0x0009,1.8877,0x000f,1.0925,0x0b,25,0x0000002d,0x00000012,0x00000014,0x00000015,0x00000014,0x00000013,0.8,
