Lot_Bin_Wafer,part,instance,temp,date,block,lfo_ovr,Vdd,rd_vbl,pattern,idd/bit,idd18/bit,safv,rd_count,osc_setting,osc_delta,rd_delay,err_cnt,ppm
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x01,0x13,0.0362,3.50,32.00,12.520032051282051
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x01,0x1a,0.0074,3.75,10.00,3.912510016025641
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x02,0x06,0.0271,4.00,6.00,2.3475060096153846
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x02,0x0e,0.0145,4.50,3.00,1.1737530048076923
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x02,0x0f,0.0636,5.00,1.00,0.3912510016025641
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x05,0x02,0.0029,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x03,0x13,0.0222,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x07,0x02,0.0109,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,513.70,-2.32,0x01,0x05,0x0f,0.0228,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,519.79,1.68,0x03,0x01,0x13,0.0362,3.50,22.00,8.60752203525641
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,519.79,1.68,0x03,0x01,0x1a,0.0074,3.75,8.00,3.1300080128205128
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,zeros,519.79,1.68,0x03,0x02,0x06,0.0271,4.00,7.00,2.738757011217949
