Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,0,025C,210624,0x00:,176.4423,1,0x000c,2.9882,0x0009,1.4895,0x07,20,0x000001e0,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,137.4199,1,0x000c,2.9882,0x0009,1.4895,0x07,20,0x00000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,176.4423,1,0x000c,2.9882,0x0009,1.4895,0x09,25,0x00000153,0x0000000b,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,137.4199,1,0x000c,2.9882,0x0009,1.4895,0x09,25,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,176.4423,1,0x000c,2.9882,0x0009,1.4895,0x0a,30,0x0000014f,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,137.4199,1,0x000c,2.9882,0x0009,1.4895,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,176.4423,1,0x000c,2.9882,0x0009,1.4895,0x0e,40,0x00000079,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,137.4199,1,0x000c,2.9882,0x0009,1.4895,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,176.4423,1,0x000c,2.9882,0x0009,1.4895,0x13,55,0x00000050,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,137.4199,1,0x000c,2.9882,0x0009,1.4895,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,174.0385,1,0x000c,2.9882,0x000a,1.4911,0x07,20,0x000001ff,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,138.7820,1,0x000c,2.9882,0x000a,1.4911,0x07,20,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,174.0385,1,0x000c,2.9882,0x000a,1.4911,0x09,25,0x00000174,0x00000003,0x00000001,0x00000001,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,138.7820,1,0x000c,2.9882,0x000a,1.4911,0x09,25,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,174.0385,1,0x000c,2.9882,0x000a,1.4911,0x0a,30,0x000000d4,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,138.7820,1,0x000c,2.9882,0x000a,1.4911,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,174.0385,1,0x000c,2.9882,0x000a,1.4911,0x0e,40,0x00000043,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,138.7820,1,0x000c,2.9882,0x000a,1.4911,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,174.0385,1,0x000c,2.9882,0x000a,1.4911,0x13,55,0x00000026,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,138.7820,1,0x000c,2.9882,0x000a,1.4911,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,188.3013,1,0x000c,2.9882,0x000b,1.4917,0x07,20,0x0000019c,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,154.4071,1,0x000c,2.9882,0x000b,1.4917,0x07,20,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,188.3013,1,0x000c,2.9882,0x000b,1.4917,0x09,25,0x00000132,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,154.4071,1,0x000c,2.9882,0x000b,1.4917,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,188.3013,1,0x000c,2.9882,0x000b,1.4917,0x0a,30,0x0000009b,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,154.4071,1,0x000c,2.9882,0x000b,1.4917,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,188.3013,1,0x000c,2.9882,0x000b,1.4917,0x0e,40,0x00000036,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,154.4071,1,0x000c,2.9882,0x000b,1.4917,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,188.3013,1,0x000c,2.9882,0x000b,1.4917,0x13,55,0x0000001f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
