# HEADER
# GIT REVISION: master
# HEADER
#< set_vdd   0.72
#< set_vddbl 1.62
#< pmu_reset
#< sleep 500
#< set_prg_vwl 0xd # Starting VWL
#< set_prg_vbl 0x13 # Starting VBL
#< vili_prg_shmoo 0 0x00 0 20 0x14 0xb 1 0
#>> 
PrgSmoo
Data ivdd18/bit ivdd/bit VWL Vwl(meas) VBL Vbl(meas) PRG_CNT PRG_Time Pulse1 Pulse2 Pulse3 Pulse4 Pulse5 Pulse6
0x00: 180.2885 0.6410 0x000b 2.0119 0x0010 1.1221 0x09 20 0x00000012 0x00000005 0x0000000a 0x0000000a 0x0000000c 0x0000000b
0xff: 182.2115 3.1250 0x000b 2.0119 0x0010 1.1221 0x09 20 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 180.2885 0.6410 0x000b 2.0119 0x0010 1.1221 0x0b 25 0x00000013 0x00000007 0x00000006 0x00000008 0x00000009 0x00000009
0xff: 182.2115 3.1250 0x000b 2.0119 0x0010 1.1221 0x0b 25 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 180.2885 0.6410 0x000b 2.0119 0x0010 1.1221 0x0d 30 0x0000000e 0x00000006 0x00000009 0x00000006 0x00000007 0x00000009
0xff: 182.2115 3.1250 0x000b 2.0119 0x0010 1.1221 0x0d 30 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 180.2885 0.6410 0x000b 2.0119 0x0010 1.1221 0x12 40 0x0000000e 0x00000006 0x00000008 0x00000008 0x00000007 0x00000008
0xff: 182.2115 3.1250 0x000b 2.0119 0x0010 1.1221 0x12 40 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 180.2885 0.6410 0x000b 2.0119 0x0010 1.1221 0x18 55 0x0000000d 0x00000006 0x00000008 0x00000007 0x00000008 0x00000008
0xff: 182.2115 3.1250 0x000b 2.0119 0x0010 1.1221 0x18 55 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 191.9872 3.4455 0x000b 2.0119 0x0012 1.1722 0x09 20 0x00000012 0x00000006 0x00000009 0x00000006 0x00000006 0x00000008
0xff: 185.0160 0.1603 0x000b 2.0119 0x0012 1.1722 0x09 20 0x00000001 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000
0x00: 191.9872 3.4455 0x000b 2.0119 0x0012 1.1722 0x0b 25 0x0000000d 0x00000007 0x00000007 0x00000009 0x00000006 0x00000009
0xff: 185.0160 0.1603 0x000b 2.0119 0x0012 1.1722 0x0b 25 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 191.9872 3.4455 0x000b 2.0119 0x0012 1.1722 0x0d 30 0x00000012 0x00000009 0x00000009 0x00000005 0x00000008 0x00000009
0xff: 185.0160 0.1603 0x000b 2.0119 0x0012 1.1722 0x0d 30 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 191.9872 3.4455 0x000b 2.0119 0x0012 1.1722 0x12 40 0x0000000d 0x00000008 0x00000009 0x00000009 0x00000007 0x00000008
0xff: 185.0160 0.1603 0x000b 2.0119 0x0012 1.1722 0x12 40 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 191.9872 3.4455 0x000b 2.0119 0x0012 1.1722 0x18 55 0x0000000d 0x00000005 0x00000008 0x00000007 0x00000009 0x0000000b
0xff: 185.0160 0.1603 0x000b 2.0119 0x0012 1.1722 0x18 55 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 174.4391 2.6442 0x000b 2.0119 0x0014 1.2216 0x09 20 0x0000000c 0x00000009 0x00000008 0x00000008 0x0000000a 0x00000009
0xff: 188.9423 9.7756 0x000b 2.0119 0x0014 1.2216 0x09 20 0x00000002 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
